time	V(n001)	V(n003)	V(n003)-V(n002)
2.101988487353198e-004	-1.371740e-004	-2.787803e+000	-2.784923e+000
2.110318929090090e-004	-1.092679e-002	-2.683443e+000	-2.453980e+000
2.118510722507873e-004	-1.971068e-002	-2.419770e+000	-2.005846e+000
2.130229472507873e-004	-2.858938e-002	-1.834601e+000	-1.234224e+000
2.141948222507873e-004	-3.324457e-002	-1.112178e+000	-4.140418e-001
2.151849810697010e-004	-3.358793e-002	-4.512713e-001	2.540752e-001
2.160255838183660e-004	-3.129703e-002	9.486985e-002	7.521074e-001
2.168744748317915e-004	-2.696932e-002	5.874220e-001	1.153778e+000
2.177974574683056e-004	-2.064558e-002	1.016090e+000	1.449647e+000
2.189693324683056e-004	-1.137367e-002	1.392334e+000	1.631181e+000
2.198906072743624e-004	-3.771240e-003	1.553463e+000	1.632659e+000
2.204943083404002e-004	1.045386e-003	1.574805e+000	1.552852e+000
2.212291760449430e-004	6.335760e-003	1.512725e+000	1.379674e+000
2.221316758306490e-004	1.166939e-002	1.338943e+000	1.093886e+000
2.233035508306490e-004	1.648367e-002	1.000963e+000	6.548061e-001
2.244754258306490e-004	1.888001e-002	5.877741e-001	1.912939e-001
2.254333705247196e-004	1.890144e-002	2.263207e-001	-1.706096e-001
2.262724582735336e-004	1.749577e-002	-7.947786e-002	-4.468890e-001
2.271187163127449e-004	1.497321e-002	-3.524045e-001	-6.668419e-001
2.280830022571208e-004	1.117283e-002	-5.981696e-001	-8.327989e-001
2.292548772571208e-004	5.899067e-003	-8.008904e-001	-9.247708e-001
2.301365537011527e-004	1.796054e-003	-8.797607e-001	-9.174779e-001
2.307711621264723e-004	-1.045619e-003	-8.879069e-001	-8.659489e-001
2.314244208775055e-004	-3.662476e-003	-8.527947e-001	-7.758827e-001
2.324165655284415e-004	-6.891455e-003	-7.393613e-001	-5.946407e-001
2.335884405284415e-004	-9.493716e-003	-5.443872e-001	-3.450192e-001
2.347603155284415e-004	-1.071144e-002	-3.082596e-001	-8.331935e-002
2.356840285746272e-004	-1.063078e-002	-1.113841e-001	1.118623e-001
2.365214553667857e-004	-9.773458e-003	5.967529e-002	2.649179e-001
2.373649442480685e-004	-8.305503e-003	2.107161e-001	3.851316e-001
2.383718406414194e-004	-6.025065e-003	3.512641e-001	4.777904e-001
2.395437156414194e-004	-3.027861e-003	4.600476e-001	5.236327e-001
2.403869901862978e-004	-8.172317e-004	4.980686e-001	5.152304e-001
2.410537194703209e-004	8.542799e-004	4.998716e-001	4.819317e-001
2.416559225656099e-004	2.189237e-003	4.790369e-001	4.330629e-001
2.427470555030491e-004	4.122450e-003	4.041064e-001	3.175350e-001
2.439189305030491e-004	5.495791e-003	2.906724e-001	1.752608e-001
2.450908055030491e-004	6.077200e-003	1.553497e-001	2.772851e-002
2.459648177771912e-004	5.966503e-003	5.023624e-002	-7.506033e-002
2.467997056829917e-004	5.434182e-003	-4.499963e-002	-1.591175e-001
2.476391998646366e-004	4.573346e-003	-1.278528e-001	-2.238931e-001
2.487056334559861e-004	3.179151e-003	-2.082806e-001	-2.750428e-001
2.498775084559861e-004	1.474143e-003	-2.652552e-001	-2.962122e-001
2.506706404195671e-004	3.058784e-004	-2.820839e-001	-2.885074e-001
2.513829107700372e-004	-6.821923e-004	-2.799242e-001	-2.655982e-001
2.520733586012766e-004	-1.509021e-003	-2.631478e-001	-2.314583e-001
2.532360939701268e-004	-2.576906e-003	-2.126565e-001	-1.585415e-001
2.544079689701267e-004	-3.231128e-003	-1.445526e-001	-7.669895e-002
2.555798439701267e-004	-3.432204e-003	-6.645179e-002	5.624495e-003
2.564338023139481e-004	-3.283595e-003	-9.174300e-003	5.978120e-002
2.573452839804006e-004	-2.874350e-003	4.704156e-002	1.074029e-001
2.581873673180730e-004	-2.327875e-003	8.998416e-002	1.388695e-001
2.593592423180730e-004	-1.411554e-003	1.330984e-001	1.627411e-001
2.603814012952682e-004	-5.578882e-004	1.554904e-001	1.672060e-001
2.610266073229696e-004	-2.948432e-005	1.597485e-001	1.603677e-001
2.618914793647445e-004	6.174188e-004	1.541219e-001	1.411561e-001
2.626873699115836e-004	1.111281e-003	1.397539e-001	1.164170e-001
2.638592449115836e-004	1.627921e-003	1.064718e-001	7.228545e-002
2.650311199115835e-004	1.903165e-003	6.521656e-002	2.525011e-002
2.660322183738895e-004	1.929217e-003	2.689906e-002	-1.361449e-002
2.668733376694881e-004	1.801770e-003	-4.523383e-003	-4.236055e-002
2.677231405266665e-004	1.556318e-003	-3.296513e-002	-6.564782e-002
2.686318320624996e-004	1.201511e-003	-5.741376e-002	-8.264550e-002
2.698037070624995e-004	6.709843e-004	-7.934362e-002	-9.343429e-002
2.707384453792134e-004	2.283066e-004	-8.903263e-002	-9.382707e-002
2.713310875145777e-004	-4.352430e-005	-9.038560e-002	-8.947159e-002
2.720948908005413e-004	-3.605254e-004	-8.684636e-002	-7.927533e-002
2.729694904338947e-004	-6.594660e-004	-7.735340e-002	-6.350461e-002
2.741413654338947e-004	-9.394791e-004	-5.810117e-002	-3.837211e-002
2.753132404338947e-004	-1.081382e-003	-3.449031e-002	-1.178129e-002
2.762819264176062e-004	-1.085800e-003	-1.352426e-002	9.277528e-003
2.771215418546732e-004	-1.007250e-003	4.072398e-003	2.522464e-002
2.779686918673744e-004	-8.639762e-004	1.983169e-002	3.797519e-002
2.789193447430887e-004	-6.502758e-004	3.386710e-002	4.752289e-002
2.800912197430887e-004	-3.483707e-004	4.568275e-002	5.299853e-002
2.809860735709927e-004	-1.093046e-004	5.043247e-002	5.272787e-002
2.816106582170574e-004	5.150180e-005	5.097594e-002	4.989440e-002
2.822905578732378e-004	2.085567e-004	4.895671e-002	4.457702e-002
2.832515250015995e-004	3.895558e-004	4.275516e-002	3.457449e-002
2.844234000015995e-004	5.411492e-004	3.164738e-002	2.028325e-002
2.855952750015995e-004	6.136792e-004	1.815270e-002	5.265442e-003
2.865308368143929e-004	6.108219e-004	6.711989e-003	-6.115270e-003
2.873688775481236e-004	5.628660e-004	-3.135669e-003	-1.495586e-002
2.882133535185319e-004	4.794744e-004	-1.186280e-002	-2.193176e-002
2.892056623887517e-004	3.512737e-004	-1.989459e-002	-2.727134e-002
2.903775373887516e-004	1.796605e-004	-2.624883e-002	-3.002170e-002
2.912325378080535e-004	5.093009e-005	-2.855342e-002	-2.962295e-002
2.918876633543572e-004	-4.368785e-005	-2.872482e-002	-2.780737e-002
2.924858719752105e-004	-1.204820e-004	-2.760290e-002	-2.507278e-002
2.935490775741299e-004	-2.304630e-004	-2.352940e-002	-1.868967e-002
2.947209525741299e-004	-3.119193e-004	-1.711649e-002	-1.056618e-002
2.958928275741299e-004	-3.480409e-004	-9.401814e-003	-2.092956e-003
2.967897107050052e-004	-3.433184e-004	-3.209728e-003	3.999959e-003
2.976258453779246e-004	-3.140113e-004	2.291093e-003	8.885330e-003
2.984672317515995e-004	-2.654248e-004	7.108810e-003	1.268273e-002
2.995066325012742e-004	-1.882033e-004	1.169841e-002	1.565068e-002
3.006785075012742e-004	-9.067904e-005	1.508245e-002	1.698671e-002
3.014948551359311e-004	-2.151690e-005	1.616524e-002	1.661709e-002
3.021868508342973e-004	3.407245e-005	1.612437e-002	1.540885e-002
3.028413218632732e-004	7.994701e-005	1.528903e-002	1.361014e-002
3.039719329513860e-004	1.418697e-004	1.260008e-002	9.620817e-003
3.051438079513859e-004	1.824411e-004	8.788373e-003	4.957109e-003
3.063156829513859e-004	1.972142e-004	4.343539e-003	2.020407e-004
3.071652972026487e-004	1.911036e-004	1.046530e-003	-2.966644e-003
3.080023462027537e-004	1.717025e-004	-1.990855e-003	-5.596607e-003
3.088422431495184e-004	1.421747e-004	-4.574359e-003	-7.560027e-003
3.099894358392718e-004	9.217765e-005	-7.184687e-003	-9.120418e-003
3.111613108392718e-004	3.649118e-005	-8.816993e-003	-9.583308e-003
3.118711826508416e-004	2.962207e-006	-9.165659e-003	-9.227865e-003
3.126477012238933e-004	-3.086414e-005	-8.936740e-003	-8.288593e-003
3.134264307312719e-004	-5.936770e-005	-8.184616e-003	-6.937895e-003
3.145983057312719e-004	-9.066590e-005	-6.352512e-003	-4.448528e-003
3.157701807312719e-004	-1.081388e-004	-4.029326e-003	-1.758412e-003
3.168101681688801e-004	-1.110216e-004	-1.752894e-003	5.785608e-004
3.176532403571354e-004	-1.045543e-004	6.647732e-005	2.262117e-003
3.185064590908850e-004	-9.108651e-005	1.734739e-003	3.647556e-003
3.193651210534613e-004	-7.234902e-005	3.104737e-003	4.624066e-003
3.205369960534612e-004	-4.225134e-005	4.432723e-003	5.320001e-003
3.215188969311095e-004	-1.560681e-005	5.076711e-003	5.404454e-003
3.221229090721809e-004	3.645794e-007	5.182639e-003	5.174983e-003
3.229526285525032e-004	2.032928e-005	4.987829e-003	4.560915e-003
3.237741250483919e-004	3.669154e-005	4.495394e-003	3.724872e-003
3.249460000483919e-004	5.317644e-005	3.406911e-003	2.290206e-003
3.261178750483918e-004	6.180746e-005	2.063522e-003	7.655653e-004
3.271071095257223e-004	6.242817e-005	8.361076e-004	-4.748840e-004
3.279479986844994e-004	5.815628e-005	-1.792046e-004	-1.400486e-003
3.287971324885282e-004	5.009963e-005	-1.094545e-003	-2.146637e-003
3.297214732952531e-004	3.831941e-005	-1.891735e-003	-2.696442e-003
3.308933482952531e-004	2.107946e-005	-2.589940e-003	-3.032609e-003
3.318132189007761e-004	6.969743e-006	-2.887968e-003	-3.034333e-003
