v1	V(n002)	I(R1)
4.119999999999957e+000	7.461284e-001	-3.373872e-002
4.129999999999956e+000	7.462044e-001	-3.383796e-002
4.139999999999956e+000	7.462801e-001	-3.393720e-002
4.149999999999956e+000	7.463557e-001	-3.403644e-002
4.159999999999956e+000	7.464310e-001	-3.413569e-002
4.169999999999956e+000	7.465061e-001	-3.423494e-002
4.179999999999955e+000	7.465810e-001	-3.433419e-002
4.189999999999955e+000	7.466556e-001	-3.443344e-002
4.199999999999955e+000	7.467300e-001	-3.453270e-002
4.209999999999955e+000	7.468043e-001	-3.463196e-002
4.219999999999955e+000	7.468783e-001	-3.473122e-002
4.229999999999954e+000	7.469521e-001	-3.483048e-002
4.239999999999954e+000	7.470257e-001	-3.492974e-002
4.249999999999954e+000	7.470992e-001	-3.502901e-002
4.259999999999954e+000	7.471724e-001	-3.512828e-002
4.269999999999953e+000	7.472453e-001	-3.522755e-002
4.279999999999953e+000	7.473181e-001	-3.532682e-002
4.289999999999953e+000	7.473907e-001	-3.542609e-002
4.299999999999953e+000	7.474631e-001	-3.552537e-002
4.309999999999953e+000	7.475352e-001	-3.562465e-002
4.319999999999952e+000	7.476072e-001	-3.572393e-002
4.329999999999952e+000	7.476790e-001	-3.582321e-002
4.339999999999952e+000	7.477506e-001	-3.592249e-002
4.349999999999952e+000	7.478220e-001	-3.602178e-002
4.359999999999952e+000	7.478932e-001	-3.612107e-002
4.369999999999951e+000	7.479642e-001	-3.622036e-002
4.379999999999951e+000	7.480350e-001	-3.631965e-002
4.389999999999951e+000	7.481056e-001	-3.641894e-002
4.399999999999951e+000	7.481760e-001	-3.651824e-002
4.409999999999950e+000	7.482463e-001	-3.661754e-002
4.419999999999950e+000	7.483163e-001	-3.671684e-002
4.429999999999950e+000	7.483862e-001	-3.681614e-002
4.439999999999950e+000	7.484558e-001	-3.691544e-002
4.449999999999950e+000	7.485253e-001	-3.701475e-002
4.459999999999949e+000	7.485946e-001	-3.711405e-002
4.469999999999949e+000	7.486637e-001	-3.721336e-002
4.479999999999949e+000	7.487327e-001	-3.731267e-002
4.489999999999949e+000	7.488014e-001	-3.741198e-002
4.499999999999949e+000	7.488700e-001	-3.751130e-002
4.509999999999948e+000	7.489384e-001	-3.761062e-002
4.519999999999948e+000	7.490066e-001	-3.770993e-002
4.529999999999948e+000	7.490746e-001	-3.780925e-002
4.539999999999948e+000	7.491425e-001	-3.790858e-002
4.549999999999947e+000	7.492102e-001	-3.800790e-002
4.559999999999947e+000	7.492777e-001	-3.810722e-002
4.569999999999947e+000	7.493450e-001	-3.820655e-002
4.579999999999947e+000	7.494122e-001	-3.830588e-002
4.589999999999947e+000	7.494792e-001	-3.840521e-002
4.599999999999946e+000	7.495459e-001	-3.850454e-002
4.609999999999946e+000	7.496126e-001	-3.860388e-002
4.619999999999946e+000	7.496791e-001	-3.870321e-002
4.629999999999946e+000	7.497454e-001	-3.880255e-002
4.639999999999946e+000	7.498115e-001	-3.890188e-002
4.649999999999945e+000	7.498775e-001	-3.900123e-002
4.659999999999945e+000	7.499433e-001	-3.910057e-002
4.669999999999945e+000	7.500089e-001	-3.919991e-002
4.679999999999945e+000	7.500744e-001	-3.929926e-002
4.689999999999944e+000	7.501397e-001	-3.939860e-002
4.699999999999944e+000	7.502048e-001	-3.949795e-002
4.709999999999944e+000	7.502698e-001	-3.959730e-002
4.719999999999944e+000	7.503346e-001	-3.969665e-002
4.729999999999944e+000	7.503992e-001	-3.979601e-002
4.739999999999943e+000	7.504637e-001	-3.989536e-002
4.749999999999943e+000	7.505281e-001	-3.999472e-002
4.759999999999943e+000	7.505922e-001	-4.009408e-002
4.769999999999943e+000	7.506563e-001	-4.019344e-002
