t,VRc,Cid
9.263221193046539e-003,4.460585,1
9.286518762600724e-003,4.601628,1
9.324263364234477e-003,4.823946,1
9.384249534252286e-003,5.034162,1
9.454906629042264e-003,5.008532,1
9.488323762476476e-003,4.888361,1
9.527762056932719e-003,4.710508,1
9.572737189757610e-003,4.537193,1
9.573444633065703e-003,4.535048,1
9.577689292914263e-003,4.5241,1
9.583348839379009e-003,4.508744,1
9.594667932308501e-003,4.477495,1
9.617306118167485e-003,4.424749,1
9.662582489885453e-003,4.368793,1
9.696893764845749e-003,4.381736,1
9.715257371972768e-003,4.421476,1
9.731459850799715e-003,4.479085,1
9.747425021877670e-003,4.551659,1
9.764042857764606e-003,4.641301,1
9.787854801313084e-003,4.78402,1
9.826416048226205e-003,4.998464,1
9.887606045464317e-003,5.197366,1
9.939635462266928e-003,5.170517,1
9.966619395857159e-003,5.068394,1
1.000148647655373e-002,4.900399,1
1.004090094641652e-002,4.721897,1
1.004168039784169e-002,4.718625,1
1.004323930069203e-002,4.712258,1
1.004635710639271e-002,4.698896,1
1.005259271779406e-002,4.670801,1
1.006506394059676e-002,4.613716,1
1.008240727375943e-002,4.535315,1
1.008472915806316e-002,4.525005,1
1.008937292667063e-002,4.504634,1
1.009866046388558e-002,4.464906,1
1.011723553831547e-002,4.395604,1
1.015438568717524e-002,4.301639,1
1.019025954865779e-002,4.271708,1
1.021033397613153e-002,4.292643,1
1.022533419009496e-002,4.33258,1
1.024368540186537e-002,4.403699,1
1.026265194002978e-002,4.496883,1
1.028559301845695e-002,4.628824,1
1.032277082128980e-002,4.838954,1
1.038191748470889e-002,5.03723,1
1.045346551426492e-002,5.007202,1
1.048699288609629e-002,4.886627,1
1.052676993910598e-002,4.707631,1
1.057263074481610e-002,4.531834,1
1.057334288644622e-002,4.529699,1
1.057761573622694e-002,4.518863,1
1.058331286926791e-002,4.503652,1
1.059470713534984e-002,4.472712,1
1.061749566751371e-002,4.420846,1
1.066307273184144e-002,4.367293,1
1.069707715671587e-002,4.382365,1
1.071539398204957e-002,4.423223,1
1.073162963643981e-002,4.481954,1
1.074772664337248e-002,4.556064,1
1.076415498689641e-002,4.645574,1
1.078803710699614e-002,4.789836,1
1.082670965966228e-002,5.005967,1
1.088806320076305e-002,5.20619,1
1.093966872620165e-002,5.17958,1
1.096651685589650e-002,5.077749,1
1.100126986924204e-002,4.909852,1
1.104054101254394e-002,4.731058,1
1.104132052864287e-002,4.727756,1
1.104287956084072e-002,4.721314,1
1.104599762523642e-002,4.707817,1
1.105223375402781e-002,4.679557,1
1.106470601161061e-002,4.622142,1
1.108264000214605e-002,4.540182,1
1.108500747342531e-002,4.529483,1
1.108974241598383e-002,4.508301,1
1.109921230110087e-002,4.467182,1
1.111815207133495e-002,4.396009,1
1.115603161180310e-002,4.300321,1
1.119138397053692e-002,4.27163,1
1.121116582778117e-002,4.292905,1
1.122636981604626e-002,4.333839,1
1.124524093013318e-002,4.407282,1
1.126323069632975e-002,4.495791,1
1.128653421636720e-002,4.629585,1
1.132428827329212e-002,4.840321,1
1.138428842048080e-002,5.041147,1
1.144568576609324e-002,5.015076,1
1.147524758786655e-002,4.906871,1
1.151133453049771e-002,4.740916,1
1.155065457136218e-002,4.581109,1
1.155139855095793e-002,4.57856,1
1.155288651014942e-002,4.573968,1
1.155586242853242e-002,4.564285,1
1.156181426529841e-002,4.543256,1
1.157371793883038e-002,4.49735,1
1.159752528589434e-002,4.407737,1
1.164513998002225e-002,4.27481,1
1.168798195739020e-002,4.23006,1
1.170865240819618e-002,4.25175,1
1.172406671309560e-002,4.295321,1
1.174214205021740e-002,4.369322,1
1.176207733999222e-002,4.472387,1
1.178465847574318e-002,4.608745,1
1.182126333172612e-002,4.82835,1
1.187955814082869e-002,5.043385,1
1.195146081815097e-002,5.030762,1
1.198345098224431e-002,4.918379,1
1.202202446712628e-002,4.743577,1
1.206646550237570e-002,4.571814,1
1.206715648163124e-002,4.569719,1
1.207130235716443e-002,4.558939,1
1.207683019120870e-002,4.543471,1
1.208788585929723e-002,4.510846,1
1.210999719547429e-002,4.451089,1
1.215421986782840e-002,4.374149,1
