time	V(n001)	V(n002)
7.812744196578030e-003	-2.776264e+000	-2.785611e-009
7.836460714435172e-003	-2.461530e+000	-2.470951e-009
7.860177232292315e-003	-2.130648e+000	-2.140147e-009
7.883893750149458e-003	-1.783619e+000	-1.793199e-009
7.897844643006600e-003	-1.576226e+000	-1.585857e-009
7.911795535863743e-003	-1.366822e+000	-1.376504e-009
7.925746428720886e-003	-1.155409e+000	-1.165139e-009
7.939697321578027e-003	-9.419846e-001	-9.517634e-010
7.953648214435170e-003	-7.265500e-001	-7.363764e-010
7.967599107292313e-003	-5.091050e-001	-5.189781e-010
7.981550000149456e-003	-2.896497e-001	-2.995686e-010
8.010846875149455e-003	1.703493e-001	6.808611e-007
8.020612500149455e-003	3.235542e-001	2.422550e-004
8.030378125149455e-003	4.764544e-001	1.319233e-002
8.040143750149454e-003	6.289063e-001	6.847733e-002
8.049909375149454e-003	7.807663e-001	1.751660e-001
8.059675000149454e-003	9.318914e-001	3.084112e-001
8.079206250149454e-003	1.231369e+000	5.899181e-001
8.093157143006596e-003	1.443484e+000	7.950502e-001
8.107108035863739e-003	1.651848e+000	9.972478e-001
8.121058928720882e-003	1.856460e+000	1.196511e+000
8.135009821578023e-003	2.057320e+000	1.392840e+000
8.148960714435166e-003	2.254429e+000	1.586234e+000
8.162911607292309e-003	2.447787e+000	1.776694e+000
8.176862500149451e-003	2.637393e+000	1.964219e+000
8.203369196578022e-003	2.986527e+000	2.309402e+000
8.229875893006593e-003	3.309890e+000	2.629278e+000
8.256382589435164e-003	3.607480e+000	2.923849e+000
8.282889285863735e-003	3.879298e+000	3.193114e+000
8.309395982292306e-003	4.125344e+000	3.437073e+000
8.335902678720877e-003	4.345618e+000	3.655726e+000
8.362409375149447e-003	4.540120e+000	3.849073e+000
8.411237500149446e-003	4.805295e+000	4.112432e+000
8.460065625149445e-003	4.956640e+000	4.262754e+000
8.508893750149444e-003	4.994153e+000	4.300039e+000
8.557721875149443e-003	4.917836e+000	4.224287e+000
8.606550000149442e-003	4.727687e+000	4.035499e+000
8.655378125149441e-003	4.423708e+000	3.733674e+000
8.704206250149440e-003	4.005897e+000	3.318813e+000
8.726527678720869e-003	3.783161e+000	3.097629e+000
8.748849107292296e-003	3.544980e+000	2.861521e+000
8.771170535863725e-003	3.291355e+000	2.610488e+000
8.793491964435152e-003	3.022286e+000	2.344530e+000
8.815813393006581e-003	2.737771e+000	2.063648e+000
8.838134821578008e-003	2.437813e+000	1.767842e+000
8.860456250149437e-003	2.122410e+000	1.457110e+000
8.870221875149437e-003	1.982201e+000	1.319062e+000
8.879987500149436e-003	1.840464e+000	1.180185e+000
8.889753125149436e-003	1.697200e+000	1.040481e+000
8.899518750149436e-003	1.552408e+000	8.999479e-001
8.909284375149436e-003	1.406088e+000	7.585874e-001
8.919050000149436e-003	1.258240e+000	6.163988e-001
8.928815625149435e-003	1.108865e+000	4.733823e-001
8.938581250149435e-003	9.587881e-001	3.330470e-001
8.948346875149435e-003	8.078092e-001	1.979401e-001
8.958112500149435e-003	6.560700e-001	8.426154e-002
8.967878125149435e-003	5.037133e-001	1.873381e-002
8.977643750149434e-003	3.508825e-001	6.524571e-004
8.987409375149434e-003	1.977215e-001	1.957801e-006
9.006940625149434e-003	-1.090144e-001	-1.050149e-010
9.018101339435147e-003	-2.847158e-001	-2.868812e-010
9.029262053720863e-003	-4.595331e-001	-4.664603e-010
9.040422768006576e-003	-6.334664e-001	-6.437523e-010
9.051583482292290e-003	-8.065157e-001	-8.187572e-010
9.062744196578003e-003	-9.786810e-001	-9.914749e-010
9.073904910863719e-003	-1.149962e+000	-1.161905e-009
9.085065625149432e-003	-1.320359e+000	-1.330049e-009
