time	V(n001)	V(n002)
3.010162721131096e-001	-9.461300e+000	-6.817481e+000
3.020325442232187e-001	-9.074104e+000	-6.816525e+000
3.030488163333278e-001	-8.686876e+000	-6.814921e+000
3.040650884434369e-001	-8.299618e+000	-6.812669e+000
3.050813605535460e-001	-7.912328e+000	-6.809770e+000
3.060976326636551e-001	-7.525008e+000	-6.806223e+000
3.071139047737643e-001	-7.137657e+000	-6.802029e+000
3.075045297737643e-001	-6.988611e+000	-6.797060e+000
3.078951547737642e-001	-6.838280e+000	-6.765124e+000
3.082857797737642e-001	-6.685010e+000	-6.671455e+000
3.086764047737642e-001	-6.529390e+000	-6.528440e+000
3.090670297737642e-001	-6.373158e+000	-6.372542e+000
3.094576547737641e-001	-6.216918e+000	-6.216525e+000
3.098482797737641e-001	-6.060676e+000	-6.060427e+000
3.102389047737641e-001	-5.904430e+000	-5.904278e+000
3.106295297737641e-001	-5.748184e+000	-5.748094e+000
3.110201547737641e-001	-5.591936e+000	-5.591888e+000
3.114107797737640e-001	-5.435687e+000	-5.435667e+000
3.118014047737640e-001	-5.279438e+000	-5.279436e+000
3.121920297737640e-001	-5.123188e+000	-5.123199e+000
3.125826547737640e-001	-4.966939e+000	-4.966957e+000
3.133639047737639e-001	-4.654439e+000	-4.654467e+000
3.140335476309067e-001	-4.386582e+000	-4.386612e+000
3.147031904880496e-001	-4.118725e+000	-4.118758e+000
3.153728333451924e-001	-3.850868e+000	-3.850903e+000
3.160424762023352e-001	-3.583011e+000	-3.583047e+000
3.167121190594780e-001	-3.315154e+000	-3.315192e+000
3.173817619166208e-001	-3.047297e+000	-3.047335e+000
3.180514047737637e-001	-2.779440e+000	-2.779479e+000
3.189442619166207e-001	-2.422297e+000	-2.422337e+000
3.198371190594778e-001	-2.065154e+000	-2.065196e+000
3.207299762023349e-001	-1.708012e+000	-1.708055e+000
3.216228333451920e-001	-1.350869e+000	-1.350916e+000
3.225156904880491e-001	-9.937264e-001	-9.937766e-001
3.234085476309062e-001	-6.365837e-001	-6.366382e-001
3.243014047737633e-001	-2.794411e-001	-2.795005e-001
3.250826547737633e-001	3.305855e-002	3.299134e-002
3.254732797737632e-001	1.893082e-001	1.892350e-001
3.258639047737632e-001	3.455537e-001	3.453895e-001
3.262545297737632e-001	5.013939e-001	4.930333e-001
3.266451547737632e-001	6.555989e-001	6.063380e-001
3.269567823555578e-001	7.765787e-001	6.538926e-001
3.272796249317204e-001	9.005223e-001	6.739679e-001
3.276243311719502e-001	1.032423e+000	6.862359e-001
3.284055811719502e-001	1.330833e+000	7.028435e-001
3.291868311719501e-001	1.628872e+000	7.116544e-001
3.299680811719501e-001	1.926859e+000	7.193830e-001
3.307493311719501e-001	2.224794e+000	7.260293e-001
3.315305811719500e-001	2.522678e+000	7.315933e-001
3.323118311719500e-001	2.820511e+000	7.360751e-001
3.330930811719499e-001	3.118292e+000	7.394745e-001
3.338743311719499e-001	3.416021e+000	7.417917e-001
3.342649561719499e-001	3.564899e+000	7.432315e-001
3.365158875127332e-001	4.425480e+000	7.496499e-001
3.387668188535165e-001	5.284323e+000	7.553820e-001
