time	V(n001)-V(n005)	V(n003)	V(n004)
1.892870732071324e-003	-7.489474e+000	-8.948739e+000	6.203927e+000
1.902636357071324e-003	-7.431191e+000	-8.524508e+000	6.146131e+000
1.912401982071324e-003	-7.263988e+000	-7.973392e+000	5.980355e+000
1.922167607071324e-003	-6.989880e+000	-7.303700e+000	5.708674e+000
1.931933232071323e-003	-6.612586e+000	-6.525512e+000	5.334921e+000
1.941698857071323e-003	-6.137426e+000	-5.650528e+000	4.864597e+000
1.951464482071323e-003	-5.571183e+000	-4.691894e+000	4.304780e+000
1.961230107071323e-003	-4.921919e+000	-3.664003e+000	3.664031e+000
1.970995732071323e-003	-4.198688e+000	-2.582273e+000	2.952321e+000
1.980761357071322e-003	-3.410778e+000	-1.462899e+000	2.181074e+000
1.990526982071322e-003	-2.564853e+000	-3.225480e-001	1.363754e+000
2.000292607071322e-003	-1.220228e+000	8.285089e-001	6.112475e-001
2.010058232071322e-003	4.843138e-001	1.984459e+000	2.398550e-001
2.019823857071322e-003	1.529839e+000	3.122654e+000	4.097317e-001
2.029589482071321e-003	2.068942e+000	4.208848e+000	8.895218e-001
2.039355107071321e-003	2.684352e+000	5.221404e+000	1.475592e+000
2.049120732071321e-003	3.349861e+000	6.148417e+000	2.121098e+000
2.058886357071321e-003	4.030318e+000	6.978515e+000	2.786797e+000
2.068651982071320e-003	4.696461e+000	7.701033e+000	3.441727e+000
2.078417607071320e-003	5.324786e+000	8.306371e+000	4.061376e+000
2.088183232071320e-003	5.896416e+000	8.786302e+000	4.626194e+000
2.097948857071320e-003	6.396092e+000	9.134214e+000	5.120560e+000
2.107714482071320e-003	6.811661e+000	9.345295e+000	5.532090e+000
2.117480107071319e-003	7.133657e+000	9.416651e+000	5.851160e+000
2.127245732071319e-003	7.357351e+000	9.350443e+000	6.072914e+000
2.136156579860945e-003	7.467340e+000	9.165497e+000	6.181976e+000
2.145922204860945e-003	7.481926e+000	8.829320e+000	6.196441e+000
2.155687829860945e-003	7.389572e+000	8.364665e+000	6.104863e+000
2.165453454860944e-003	7.188718e+000	7.775524e+000	5.905740e+000
2.175219079860944e-003	6.881927e+000	7.070774e+000	5.601710e+000
2.184984704860944e-003	6.473438e+000	6.261019e+000	5.197143e+000
2.194750329860944e-003	5.969046e+000	5.358430e+000	4.698045e+000
2.204515954860944e-003	5.375958e+000	4.376565e+000	4.111970e+000
2.214281579860943e-003	4.702587e+000	3.330160e+000	3.447927e+000
2.224047204860943e-003	3.958201e+000	2.234907e+000	2.716323e+000
2.233812829860943e-003	3.151825e+000	1.107186e+000	1.929092e+000
2.243578454860943e-003	2.285618e+000	-3.630523e-002	1.101074e+000
2.253344079860943e-003	9.071755e-001	-1.185587e+000	4.746574e-001
