time	V(n001)	V(n002)
2.012734789185027e-001	1.273479e-001	1.273481e-001
2.016979718906702e-001	1.697972e-001	1.697972e-001
2.021224648628377e-001	2.122465e-001	2.122461e-001
2.025469578350052e-001	2.546957e-001	2.546948e-001
2.029714508071727e-001	2.971450e-001	2.971433e-001
2.033620758071727e-001	3.362072e-001	3.361998e-001
2.037527008071727e-001	3.752684e-001	3.752347e-001
2.041433258071727e-001	4.143250e-001	4.141741e-001
2.045339508071727e-001	4.533623e-001	4.527056e-001
2.049245758071727e-001	4.923285e-001	4.897463e-001
2.053152008071728e-001	5.311095e-001	5.228966e-001
2.057058258071728e-001	5.695778e-001	5.494822e-001
2.060964508071728e-001	6.077008e-001	5.688155e-001
2.064870758071728e-001	6.455524e-001	5.824488e-001
2.068777008071728e-001	6.832290e-001	5.924064e-001
2.072683258071728e-001	7.207959e-001	6.000613e-001
2.076589508071728e-001	7.582892e-001	6.061722e-001
2.084402008071728e-001	8.331397e-001	6.155307e-001
2.092772543786014e-001	9.131820e-001	6.223138e-001
2.101143079500300e-001	9.931892e-001	6.283580e-001
2.109513615214586e-001	1.073161e+000	6.336634e-001
2.117884150928871e-001	1.153098e+000	6.382300e-001
2.126254686643157e-001	1.233000e+000	6.420578e-001
2.134625222357443e-001	1.312866e+000	6.451467e-001
2.142995758071729e-001	1.392698e+000	6.474968e-001
2.185406472357444e-001	1.797054e+000	6.568391e-001
2.227817186643158e-001	2.201353e+000	6.649852e-001
2.270227900928873e-001	2.605596e+000	6.719351e-001
2.312638615214588e-001	3.009782e+000	6.776888e-001
2.355049329500303e-001	3.413910e+000	6.822462e-001
2.397460043786018e-001	3.817982e+000	6.856074e-001
2.439870758071733e-001	4.221996e+000	6.877725e-001
2.500429511099456e-001	4.790748e+000	6.916085e-001
2.549340963392849e-001	4.324821e+000	6.894403e-001
2.598252415686242e-001	3.858839e+000	6.860941e-001
2.647163867979636e-001	3.392800e+000	6.815701e-001
2.696075320273029e-001	2.926705e+000	6.758682e-001
2.744986772566422e-001	2.460554e+000	6.689884e-001
2.793898224859815e-001	1.994347e+000	6.609306e-001
2.842809677153209e-001	1.528084e+000	6.516950e-001
2.852854320010351e-001	1.432309e+000	6.493516e-001
2.862898962867493e-001	1.336495e+000	6.461828e-001
2.872943605724636e-001	1.240641e+000	6.421886e-001
2.882988248581778e-001	1.144748e+000	6.373691e-001
2.893032891438920e-001	1.048816e+000	6.317241e-001
2.903077534296062e-001	9.528451e-001	6.252538e-001
2.913122177153205e-001	8.568344e-001	6.179581e-001
2.920934677153204e-001	7.820245e-001	6.094507e-001
2.924840927153204e-001	7.445646e-001	6.040424e-001
2.928747177153204e-001	7.070484e-001	5.974529e-001
2.932653427153203e-001	6.694483e-001	5.890989e-001
2.936559677153203e-001	6.317168e-001	5.779880e-001
2.940465927153203e-001	5.937772e-001	5.625057e-001
2.944372177153203e-001	5.555322e-001	5.406116e-001
2.948278427153203e-001	5.169387e-001	5.113986e-001
2.952184677153202e-001	4.780735e-001	4.764790e-001
2.956090927153202e-001	4.390714e-001	4.386855e-001
2.959997177153202e-001	4.000239e-001	3.999366e-001
2.963903427153202e-001	3.609648e-001	3.609454e-001
2.967809677153201e-001	3.219030e-001	3.218987e-001
2.971715927153201e-001	2.828407e-001	2.828397e-001
3.000000000030004e-001	-1.615759e-029	-3.393095e-028
3.004245267624834e-001	4.245269e-002	4.245291e-002
3.008490535219665e-001	8.490538e-002	8.490566e-002
3.012735802814495e-001	1.273580e-001	1.273583e-001
3.016981070409325e-001	1.698107e-001	1.698107e-001
3.021226338004155e-001	2.122634e-001	2.122629e-001
3.025471605598985e-001	2.547160e-001	2.547151e-001
3.029716873193815e-001	2.971686e-001	2.971670e-001
3.033623123193815e-001	3.362309e-001	3.362234e-001
3.037529373193815e-001	3.752920e-001	3.752584e-001
3.041435623193814e-001	4.143487e-001	4.141976e-001
3.045341873193814e-001	4.533859e-001	4.527287e-001
3.049248123193814e-001	4.923520e-001	4.897678e-001
3.053154373193814e-001	5.311328e-001	5.229148e-001
3.057060623193814e-001	5.696010e-001	5.494961e-001
3.060966873193813e-001	6.077238e-001	5.688253e-001
3.064873123193813e-001	6.455753e-001	5.824558e-001
3.068779373193813e-001	6.832517e-001	5.924116e-001
3.072685623193813e-001	7.208186e-001	6.000654e-001
3.076591873193812e-001	7.583119e-001	6.061755e-001
3.084404373193812e-001	8.331623e-001	6.155332e-001
3.092774908908098e-001	9.132047e-001	6.223158e-001
3.101145444622382e-001	9.932119e-001	6.283596e-001
3.109515980336668e-001	1.073184e+000	6.336647e-001
3.117886516050953e-001	1.153121e+000	6.382310e-001
3.126257051765238e-001	1.233022e+000	6.420587e-001
3.134627587479523e-001	1.312889e+000	6.451475e-001
3.142998123193809e-001	1.392720e+000	6.474977e-001
3.183176694622378e-001	1.775802e+000	6.564962e-001
3.223355266050947e-001	2.158829e+000	6.643604e-001
3.263533837479516e-001	2.541803e+000	6.710904e-001
3.303712408908086e-001	2.924722e+000	6.766862e-001
3.343890980336655e-001	3.307588e+000	6.811477e-001
3.384069551765224e-001	3.690399e+000	6.844749e-001
3.424248123193793e-001	4.073157e+000	6.866679e-001
3.428154373193793e-001	4.110373e+000	6.869485e-001
3.500429511109458e-001	4.790748e+000	6.916085e-001
3.549340963402851e-001	4.324821e+000	6.894403e-001
3.598252415696245e-001	3.858839e+000	6.860941e-001
3.647163867989638e-001	3.392800e+000	6.815701e-001
3.696075320283031e-001	2.926705e+000	6.758682e-001
3.744986772576425e-001	2.460554e+000	6.689884e-001
3.793898224869818e-001	1.994347e+000	6.609306e-001
3.842809677163211e-001	1.528084e+000	6.516950e-001
3.852854320020353e-001	1.432309e+000	6.493516e-001
3.862898962877496e-001	1.336495e+000	6.461828e-001
3.872943605734638e-001	1.240641e+000	6.421886e-001
3.882988248591780e-001	1.144748e+000	6.373691e-001
3.893032891448922e-001	1.048816e+000	6.317241e-001
3.903077534306065e-001	9.528451e-001	6.252538e-001
3.913122177163207e-001	8.568344e-001	6.179581e-001
3.920934677163206e-001	7.820245e-001	6.094507e-001
3.924840927163206e-001	7.445646e-001	6.040424e-001
3.928747177163206e-001	7.070484e-001	5.974529e-001
3.932653427163206e-001	6.694483e-001	5.890989e-001
3.936559677163206e-001	6.317168e-001	5.779880e-001
3.940465927163205e-001	5.937772e-001	5.625057e-001
3.944372177163205e-001	5.555322e-001	5.406116e-001
3.948278427163205e-001	5.169387e-001	5.113986e-001
3.952184677163205e-001	4.780735e-001	4.764790e-001
3.956090927163204e-001	4.390714e-001	4.386855e-001
3.959997177163204e-001	4.000239e-001	3.999366e-001
3.963903427163204e-001	3.609648e-001	3.609454e-001
3.967809677163204e-001	3.219030e-001	3.218987e-001
3.971715927163204e-001	2.828407e-001	2.828397e-001
3.997974395793614e-001	2.025604e-002	2.025604e-002
4.000000000000000e-001	4.000622e-010	4.000622e-010
