Freq.	mag(V(n002)/V(n006))
1.42358358358359e+003	1.35641184109749e+000,0.00000000000000e+000
1.42857857857858e+003	1.36025382884303e+000,0.00000000000000e+000
1.43357357357358e+003	1.36408803618434e+000,0.00000000000000e+000
1.43856856856857e+003	1.36791446210318e+000,0.00000000000000e+000
1.44356356356357e+003	1.37173310573151e+000,0.00000000000000e+000
1.44855855855856e+003	1.37554396635055e+000,0.00000000000000e+000
1.45355355355356e+003	1.37934704338998e+000,0.00000000000000e+000
1.45854854854855e+003	1.38314233642700e+000,0.00000000000000e+000
1.46354354354355e+003	1.38692984518545e+000,0.00000000000000e+000
1.46853853853854e+003	1.39070956953497e+000,0.00000000000000e+000
1.47353353353354e+003	1.39448150949005e+000,0.00000000000000e+000
1.47852852852853e+003	1.39824566520920e+000,0.00000000000000e+000
1.48352352352353e+003	1.40200203699399e+000,0.00000000000000e+000
1.48851851851852e+003	1.40575062528825e+000,0.00000000000000e+000
1.49351351351352e+003	1.40949143067707e+000,0.00000000000000e+000
1.49850850850851e+003	1.41322445388603e+000,0.00000000000000e+000
1.50350350350351e+003	1.41694969578016e+000,0.00000000000000e+000
1.50849849849850e+003	1.42066715736320e+000,0.00000000000000e+000
1.51349349349350e+003	1.42437683977657e+000,0.00000000000000e+000
1.51848848848849e+003	1.42807874429854e+000,0.00000000000000e+000
1.52348348348349e+003	1.43177287234335e+000,0.00000000000000e+000
1.52847847847848e+003	1.43545922546024e+000,0.00000000000000e+000
1.53347347347348e+003	1.43913780533263e+000,0.00000000000000e+000
1.53846846846847e+003	1.44280861377714e+000,0.00000000000000e+000
1.54346346346347e+003	1.44647165274278e+000,0.00000000000000e+000
1.54845845845846e+003	1.45012692430997e+000,0.00000000000000e+000
1.55345345345346e+003	1.45377443068968e+000,0.00000000000000e+000
1.55844844844845e+003	1.45741417422253e+000,0.00000000000000e+000
1.56344344344345e+003	1.46104615737786e+000,0.00000000000000e+000
1.56843843843844e+003	1.46467038275288e+000,0.00000000000000e+000
1.57343343343344e+003	1.46828685307172e+000,0.00000000000000e+000
1.57842842842843e+003	1.47189557118453e+000,0.00000000000000e+000
1.58342342342343e+003	1.47549654006664e+000,0.00000000000000e+000
1.58841841841842e+003	1.47908976281759e+000,0.00000000000000e+000
1.59341341341342e+003	1.48267524266026e+000,0.00000000000000e+000
1.59840840840841e+003	1.48625298293997e+000,0.00000000000000e+000
1.60340340340341e+003	1.48982298712357e+000,0.00000000000000e+000
1.60839839839840e+003	1.49338525879859e+000,0.00000000000000e+000
1.61339339339340e+003	1.49693980167224e+000,0.00000000000000e+000
1.61838838838839e+003	1.50048661957064e+000,0.00000000000000e+000
1.62338338338339e+003	1.50402571643781e+000,0.00000000000000e+000
1.62837837837838e+003	1.50755709633485e+000,0.00000000000000e+000
1.63337337337338e+003	1.51108076343901e+000,0.00000000000000e+000
1.63836836836837e+003	1.51459672204280e+000,0.00000000000000e+000
1.64336336336337e+003	1.51810497655313e+000,0.00000000000000e+000
1.64835835835836e+003	1.52160553149035e+000,0.00000000000000e+000
1.65335335335336e+003	1.52509839148742e+000,0.00000000000000e+000
1.65834834834835e+003	1.52858356128901e+000,0.00000000000000e+000
1.66334334334335e+003	1.53206104575057e+000,0.00000000000000e+000
1.66833833833834e+003	1.53553084983752e+000,0.00000000000000e+000
1.67333333333334e+003	1.53899297862427e+000,0.00000000000000e+000
1.67832832832833e+003	1.54244743729342e+000,0.00000000000000e+000
1.68332332332333e+003	1.54589423113482e+000,0.00000000000000e+000
1.68831831831832e+003	1.54933336554472e+000,0.00000000000000e+000
1.69331331331332e+003	1.55276484602488e+000,0.00000000000000e+000
1.69830830830831e+003	1.55618867818168e+000,0.00000000000000e+000
1.70330330330331e+003	1.55960486772527e+000,0.00000000000000e+000
1.70829829829830e+003	1.56301342046866e+000,0.00000000000000e+000
1.71329329329330e+003	1.56641434232688e+000,0.00000000000000e+000
1.71828828828829e+003	1.56980763931609e+000,0.00000000000000e+000
1.72328328328329e+003	1.57319331755273e+000,0.00000000000000e+000
1.72827827827828e+003	1.57657138325260e+000,0.00000000000000e+000
1.73327327327328e+003	1.57994184273007e+000,0.00000000000000e+000
1.73826826826828e+003	1.58330470239716e+000,0.00000000000000e+000
1.74326326326327e+003	1.58665996876269e+000,0.00000000000000e+000
1.74825825825827e+003	1.59000764843144e+000,0.00000000000000e+000
1.75325325325326e+003	1.59334774810326e+000,0.00000000000000e+000
1.75824824824826e+003	1.59668027457226e+000,0.00000000000000e+000
1.76324324324325e+003	1.60000523472589e+000,0.00000000000000e+000
1.76823823823825e+003	1.60332263554417e+000,0.00000000000000e+000
1.77323323323324e+003	1.60663248409877e+000,0.00000000000000e+000
1.77822822822824e+003	1.60993478755220e+000,0.00000000000000e+000
1.78322322322323e+003	1.61322955315698e+000,0.00000000000000e+000
