time	V(vin)	V(vout)	I(R1)
6.951954881800235e-003	0.000000e+000	3.369403e-003	1.286997e-006
6.981251756800235e-003	0.000000e+000	3.012332e-003	1.150608e-006
7.010548631800236e-003	0.000000e+000	2.693102e-003	1.028673e-006
7.039845506800236e-003	0.000000e+000	2.407701e-003	9.196597e-007
7.069142381800236e-003	0.000000e+000	2.152546e-003	8.221991e-007
7.098439256800236e-003	0.000000e+000	1.924431e-003	7.350669e-007
7.127736131800237e-003	0.000000e+000	1.720490e-003	6.571685e-007
7.157033006800237e-003	0.000000e+000	1.538162e-003	5.875254e-007
7.186329881800237e-003	0.000000e+000	1.375156e-003	5.252626e-007
7.215626756800237e-003	0.000000e+000	1.229424e-003	4.695982e-007
7.244923631800238e-003	0.000000e+000	1.099137e-003	4.198327e-007
7.274220506800238e-003	0.000000e+000	9.826563e-004	3.753411e-007
7.303517381800238e-003	0.000000e+000	8.785197e-004	3.355645e-007
7.332814256800238e-003	0.000000e+000	7.854190e-004	3.000032e-007
7.362111131800238e-003	0.000000e+000	7.021845e-004	2.682105e-007
7.420704881800239e-003	0.000000e+000	5.612431e-004	2.143757e-007
7.479298631800239e-003	0.000000e+000	4.485912e-004	1.713465e-007
7.537892381800240e-003	0.000000e+000	3.585506e-004	1.369541e-007
7.596486131800240e-003	0.000000e+000	2.865829e-004	1.094649e-007
7.684376756800241e-003	0.000000e+000	2.047858e-004	7.822119e-008
7.772267381800242e-003	0.000000e+000	1.463354e-004	5.589514e-008
7.860158006800242e-003	0.000000e+000	1.045681e-004	3.994143e-008
7.931307560371670e-003	0.000000e+000	8.209625e-005	3.135796e-008
8.002457113943096e-003	0.000000e+000	6.287712e-005	2.401691e-008
8.073606667514523e-003	0.000000e+000	4.691070e-005	1.791828e-008
8.144756221085949e-003	0.000000e+000	3.419699e-005	1.306208e-008
8.215905774657377e-003	0.000000e+000	2.473598e-005	9.448301e-009
8.287055328228803e-003	0.000000e+000	1.852768e-005	7.076943e-009
8.358204881800231e-003	0.000000e+000	1.557209e-005	5.948008e-009
8.559097738943084e-003	0.000000e+000	9.823943e-006	3.752411e-009
8.759990596085936e-003	0.000000e+000	5.253741e-006	2.006750e-009
8.960883453228791e-003	0.000000e+000	1.861489e-006	7.110251e-010
9.161776310371643e-003	0.000000e+000	-3.528148e-007	-1.347633e-010
9.362669167514496e-003	0.000000e+000	-1.389169e-006	-5.306154e-010
9.563562024657349e-003	0.000000e+000	-1.247575e-006	-4.765312e-010
9.764454881800201e-003	0.000000e+000	7.196827e-008	2.748942e-011
1.000000000000000e-002	0.000000e+000	2.915318e-008	1.113552e-011
1.000000014285714e-002	7.142857e-001	2.915279e-008	-8.943640e-010
1.000000028571429e-002	1.428571e+000	2.915665e-008	-2.690881e-009
1.000000042857143e-002	2.142857e+000	2.916476e-008	-5.378414e-009
1.000000057142857e-002	2.857143e+000	2.917712e-008	-8.956965e-009
1.000000071428571e-002	3.571429e+000	2.919374e-008	-1.342653e-008
1.000000085714286e-002	4.285714e+000	2.921462e-008	-1.878712e-008
1.000000100000000e-002	5.000000e+000	2.923974e-008	-2.503872e-008
