time	V(vin)	V(vout)	I(R1)
1.011079355384331e-001	0.000000e+000	-2.115080e-001	-2.863216e-003
1.011342356724691e-001	0.000000e+000	5.266377e-001	-2.750903e-003
1.011608640001210e-001	0.000000e+000	1.209129e+000	-2.438270e-003
1.011955072748508e-001	0.000000e+000	1.921428e+000	-1.799364e-003
1.012360805969296e-001	0.000000e+000	2.484689e+000	-8.544113e-004
1.012618122369596e-001	0.000000e+000	2.648146e+000	-1.880818e-004
1.012844244609979e-001	0.000000e+000	2.629410e+000	4.065177e-004
1.013061790201175e-001	0.000000e+000	2.468298e+000	9.374295e-004
1.013408936220687e-001	0.000000e+000	1.989473e+000	1.646889e-003
1.013784968204382e-001	0.000000e+000	1.270314e+000	2.200353e-003
1.014076817338655e-001	0.000000e+000	6.031821e-001	2.425340e-003
1.014339818079966e-001	0.000000e+000	-3.558967e-002	2.439247e-003
1.014611823500106e-001	0.000000e+000	-6.768411e-001	2.276816e-003
1.014883311045651e-001	0.000000e+000	-1.238318e+000	1.946402e-003
1.015268712701062e-001	0.000000e+000	-1.849422e+000	1.274698e-003
1.015615958830875e-001	0.000000e+000	-2.198379e+000	5.494498e-004
1.015829604594490e-001	0.000000e+000	-2.277148e+000	6.841034e-005
1.016068565765619e-001	0.000000e+000	-2.226286e+000	-4.646209e-004
1.016308077918143e-001	0.000000e+000	-2.042333e+000	-9.490282e-004
1.016678203208359e-001	0.000000e+000	-1.554464e+000	-1.549620e-003
1.017071189519020e-001	0.000000e+000	-8.673718e-001	-1.974020e-003
1.017354812772421e-001	0.000000e+000	-2.958480e-001	-2.099913e-003
1.017617530559752e-001	0.000000e+000	2.494559e-001	-2.053659e-003
1.017885432935711e-001	0.000000e+000	7.698762e-001	-1.858118e-003
1.018204216594174e-001	0.000000e+000	1.285843e+000	-1.462628e-003
1.018601587438785e-001	0.000000e+000	1.746691e+000	-8.134062e-004
1.018885124125363e-001	0.000000e+000	1.928128e+000	-2.838197e-004
1.019085631789791e-001	0.000000e+000	1.951158e+000	1.056730e-004
1.019316483233076e-001	0.000000e+000	1.867980e+000	5.360801e-004
