time	V(vin)	V(vout)	I(L1)
1.060897479587026e-002	5.000000e+000	4.961570e+000	-4.597030e-005
1.063827167087026e-002	5.000000e+000	4.973200e+000	-3.342742e-005
1.066756854587026e-002	5.000000e+000	4.981620e+000	-2.404876e-005
1.069686542087026e-002	5.000000e+000	4.987647e+000	-1.709853e-005
1.072616229587026e-002	5.000000e+000	4.991909e+000	-1.199570e-005
1.075545917087025e-002	5.000000e+000	4.994880e+000	-8.286060e-006
1.078475604587025e-002	5.000000e+000	4.996917e+000	-5.617937e-006
1.081405292087025e-002	5.000000e+000	4.998285e+000	-3.721481e-006
1.084334979587025e-002	5.000000e+000	4.999180e+000	-2.391450e-006
1.087264667087025e-002	5.000000e+000	4.999746e+000	-1.473097e-006
1.090194354587025e-002	5.000000e+000	5.000089e+000	-8.482636e-007
1.092957293808486e-002	5.000000e+000	5.000274e+000	-4.482981e-007
1.095160390618230e-002	5.000000e+000	5.000354e+000	-2.291471e-007
1.096979187392299e-002	5.000000e+000	5.000387e+000	-1.007615e-007
1.098422422592660e-002	5.000000e+000	5.000397e+000	-2.483911e-008
1.099605894793566e-002	5.000000e+000	5.000397e+000	2.316105e-008
1.100706808048848e-002	5.000000e+000	5.000392e+000	5.715527e-008
1.102609572322825e-002	5.000000e+000	5.000376e+000	9.957954e-008
1.104629072537890e-002	5.000000e+000	5.000353e+000	1.282481e-007
1.107279969561720e-002	5.000000e+000	5.000316e+000	1.464914e-007
1.109888103879252e-002	5.000000e+000	5.000278e+000	1.502006e-007
1.112817791379252e-002	5.000000e+000	5.000235e+000	1.432456e-007
1.115747478879252e-002	5.000000e+000	5.000195e+000	1.300503e-007
1.124536541379251e-002	5.000000e+000	5.000102e+000	8.118096e-008
1.130395916379251e-002	5.000000e+000	5.000062e+000	5.398206e-008
1.136255291379251e-002	5.000000e+000	5.000037e+000	3.412088e-008
1.142114666379251e-002	5.000000e+000	5.000021e+000	2.069448e-008
1.150903728879251e-002	5.000000e+000	5.000009e+000	9.131758e-009
1.156740860472701e-002	5.000000e+000	5.000005e+000	6.007170e-009
1.162577992066151e-002	5.000000e+000	5.000003e+000	3.491017e-009
1.168415123659601e-002	5.000000e+000	5.000001e+000	1.583298e-009
1.174252255253052e-002	5.000000e+000	5.000000e+000	2.840131e-010
1.180089386846502e-002	5.000000e+000	4.999999e+000	-4.068370e-010
1.185926518439952e-002	5.000000e+000	4.999999e+000	-4.892528e-010
1.191763650033403e-002	5.000000e+000	5.000000e+000	3.676584e-011
1.500000100219993e-002	4.989000e+000	5.000000e+000	4.326405e-013
1.500000114474280e-002	4.276286e+000	5.000000e+000	7.197151e-010
1.500000128728567e-002	3.563572e+000	5.000000e+000	2.392071e-009
1.500000142982853e-002	2.850857e+000	5.000000e+000	5.017501e-009
1.500000157237140e-002	2.138143e+000	5.000000e+000	8.596005e-009
1.500000171491427e-002	1.425429e+000	5.000000e+000	1.312758e-008
1.500000185745713e-002	7.127143e-001	5.000000e+000	1.861223e-008
1.500000200000000e-002	0.000000e+000	5.000000e+000	2.504996e-008
