Freq.	V(vout)
1.31000000000000e+003	(-1.41653996945710e+001dB,-8.77559349833237e+001°)
1.32000000000000e+003	(-1.45151677362795e+001dB,-8.78445335779243e+001°)
1.33000000000000e+003	(-1.48763520179342e+001dB,-8.79323500506714e+001°)
1.34000000000000e+003	(-1.52498779107466e+001dB,-8.80194014004337e+001°)
1.35000000000000e+003	(-1.56367825602372e+001dB,-8.81057041229772e+001°)
1.36000000000000e+003	(-1.60382338269350e+001dB,-8.81912742266728e+001°)
1.37000000000000e+003	(-1.64555534100490e+001dB,-8.82761272469302e+001°)
1.38000000000000e+003	(-1.68902453144140e+001dB,-8.83602782592194e+001°)
1.39000000000000e+003	(-1.73440312147738e+001dB,-8.84437418904710e+001°)
1.40000000000000e+003	(-1.78188948257507e+001dB,-8.85265323285432e+001°)
1.41000000000000e+003	(-1.83171381782658e+001dB,-8.86086633292878e+001°)
1.42000000000000e+003	(-1.88414538553738e+001dB,-8.86901482205180e+001°)
1.43000000000000e+003	(-1.93950189473479e+001dB,-8.87709999018117e+001°)
1.44000000000000e+003	(-1.99816190671231e+001dB,-8.88512308385150e+001°)
1.45000000000000e+003	(-2.06058147615305e+001dB,-8.89308530473602e+001°)
1.46000000000000e+003	(-2.12731689956512e+001dB,-8.90098780695319e+001°)
1.47000000000000e+003	(-2.19905647532712e+001dB,-8.90883169242513e+001°)
1.48000000000000e+003	(-2.27666593071693e+001dB,-8.91661800309628e+001°)
1.49000000000000e+003	(-2.36125524364691e+001dB,-8.92434770788030e+001°)
1.50000000000000e+003	(-2.45428021993928e+001dB,-8.93202168033828e+001°)
1.51000000000000e+003	(-2.55770306420046e+001dB,-8.93964065916837e+001°)
1.52000000000000e+003	(-2.67425852790491e+001dB,-8.94720517472948e+001°)
1.53000000000000e+003	(-2.80792172902258e+001dB,-8.95471540301302e+001°)
1.54000000000000e+003	(-2.96479433484117e+001dB,-8.96217084859165e+001°)
1.55000000000000e+003	(-3.15495794643310e+001dB,-8.96956956847345e+001°)
1.56000000000000e+003	(-3.39692520004318e+001dB,-8.97690591832191e+001°)
1.57000000000000e+003	(-3.73083131243912e+001dB,-8.98416202127547e+001°)
1.58000000000000e+003	(-4.27535129585628e+001dB,-8.99125491281951e+001°)
1.59000000000000e+003	(-6.02287270586264e+001dB,-8.99593690134414e+001°)
1.60000000000000e+003	(-4.55216572609057e+001dB,8.99339638764214e+001°)
1.61000000000000e+003	(-3.87661444377733e+001dB,8.98654885705142e+001°)
1.62000000000000e+003	(-3.50312468394852e+001dB,8.97953950211451e+001°)
1.63000000000000e+003	(-3.24415030476880e+001dB,8.97252792830674e+001°)
1.64000000000000e+003	(-3.04598428731465e+001dB,8.96554134543142e+001°)
1.65000000000000e+003	(-2.88560804606417e+001dB,8.95858783758882e+001°)
1.66000000000000e+003	(-2.75101248399834e+001dB,8.95167034645528e+001°)
1.67000000000000e+003	(-2.63513339604851e+001dB,8.94478995957657e+001°)
1.68000000000000e+003	(-2.53346152363254e+001dB,8.93794696772810e+001°)
1.69000000000000e+003	(-2.44294202982963e+001dB,8.93114127758496e+001°)
1.70000000000000e+003	(-2.36140933140446e+001dB,8.92437259583105e+001°)
1.71000000000000e+003	(-2.28727230333713e+001dB,8.91764051978787e+001°)
1.72000000000000e+003	(-2.21932752345980e+001dB,8.91094458551376e+001°)
1.73000000000000e+003	(-2.15664273699842e+001dB,8.90428429488365e+001°)
1.74000000000000e+003	(-2.09848106199309e+001dB,8.89765913156713e+001°)
1.75000000000000e+003	(-2.04424995531221e+001dB,8.89106857081523e+001°)
1.76000000000000e+003	(-1.99346582518765e+001dB,8.88451208563365e+001°)
1.77000000000000e+003	(-1.94572886488622e+001dB,8.87798915076484e+001°)
1.78000000000000e+003	(-1.90070475750804e+001dB,8.87149924529683e+001°)
1.79000000000000e+003	(-1.85811111679306e+001dB,8.86504185438722e+001°)
1.80000000000000e+003	(-1.81770726488993e+001dB,8.85861647040282e+001°)
1.81000000000000e+003	(-1.77928640766691e+001dB,8.85222259366548e+001°)
1.82000000000000e+003	(-1.74266956290850e+001dB,8.84585973292764e+001°)
1.83000000000000e+003	(-1.70770079032254e+001dB,8.83952740565960e+001°)
1.84000000000000e+003	(-1.67424340215421e+001dB,8.83322513820413e+001°)
1.85000000000000e+003	(-1.64217692202388e+001dB,8.82695246583648e+001°)
1.86000000000000e+003	(-1.61139462141985e+001dB,8.82070893275662e+001°)
1.87000000000000e+003	(-1.58180150698598e+001dB,8.81449409203263e+001°)
1.88000000000000e+003	(-1.55331266310267e+001dB,8.80830750550898e+001°)
1.89000000000000e+003	(-1.52585187706132e+001dB,8.80214874368944e+001°)
1.90000000000000e+003	(-1.49935049091618e+001dB,8.79601738560199e+001°)
1.91000000000000e+003	(-1.47374643659474e+001dB,8.78991301865117e+001°)
1.92000000000000e+003	(-1.44898342025084e+001dB,8.78383523846174e+001°)
1.93000000000000e+003	(-1.42501022899048e+001dB,8.77778364871677e+001°)
1.94000000000000e+003	(-1.40178013858019e+001dB,8.77175786099241e+001°)
1.95000000000000e+003	(-1.37925040498663e+001dB,8.76575749459106e+001°)
1.96000000000000e+003	(-1.35738182590130e+001dB,8.75978217637418e+001°)
1.97000000000000e+003	(-1.33613836100088e+001dB,8.75383154059592e+001°)
1.98000000000000e+003	(-1.31548680174853e+001dB,8.74790522873806e+001°)
1.99000000000000e+003	(-1.29539648317790e+001dB,8.74200288934701e+001°)
2.00000000000000e+003	(-1.27583903141379e+001dB,8.73612417787329e+001°)
2.01000000000000e+003	(-1.25678814174118e+001dB,8.73026875651369e+001°)
2.02000000000000e+003	(-1.23821938289255e+001dB,8.72443629405642e+001°)
2.03000000000000e+003	(-1.22011002392285e+001dB,8.71862646572939e+001°)
2.04000000000000e+003	(-1.20243888061470e+001dB,8.71283895305180e+001°)
2.05000000000000e+003	(-1.18518617882896e+001dB,8.70707344368892e+001°)
2.06000000000000e+003	(-1.16833343260576e+001dB,8.70132963131032e+001°)
2.07000000000000e+003	(-1.15186333514634e+001dB,8.69560721545136e+001°)
2.08000000000000e+003	(-1.13575966107630e+001dB,8.68990590137812e+001°)
2.09000000000000e+003	(-1.12000717861822e+001dB,8.68422539995557e+001°)
2.10000000000000e+003	(-1.10459157049220e+001dB,8.67856542751902e+001°)
2.11000000000000e+003	(-1.08949936252413e+001dB,8.67292570574885e+001°)
2.12000000000000e+003	(-1.07471785907782e+001dB,8.66730596154836e+001°)
2.13000000000000e+003	(-1.06023508454329e+001dB,8.66170592692472e+001°)
2.14000000000000e+003	(-1.04603973021234e+001dB,8.65612533887305e+001°)
2.15000000000000e+003	(-1.03212110595716e+001dB,8.65056393926340e+001°)
2.16000000000000e+003	(-1.01846909620029e+001dB,8.64502147473065e+001°)
2.17000000000000e+003	(-1.00507411972691e+001dB,8.63949769656731e+001°)
2.18000000000000e+003	(-9.91927092943999e+000dB,8.63399236061901e+001°)
2.19000000000000e+003	(-9.79019396237928e+000dB,8.62850522718276e+001°)
2.20000000000000e+003	(-9.66342843122141e+000dB,8.62303606090777e+001°)
2.21000000000000e+003	(-9.53889651902051e+000dB,8.61758463069891e+001°)
2.22000000000000e+003	(-9.41652419614724e+000dB,8.61215070962262e+001°)
2.23000000000000e+003	(-9.29624098027839e+000dB,8.60673407481520e+001°)
2.24000000000000e+003	(-9.17797971505789e+000dB,8.60133450739354e+001°)
2.25000000000000e+003	(-9.06167636571440e+000dB,8.59595179236811e+001°)
2.26000000000000e+003	(-8.94726983010107e+000dB,8.59058571855813e+001°)
2.27000000000000e+003	(-8.83470176378282e+000dB,8.58523607850899e+001°)
2.28000000000000e+003	(-8.72391641793745e+000dB,8.57990266841172e+001°)
2.29000000000000e+003	(-8.61486048896128e+000dB,8.57458528802449e+001°)
2.30000000000000e+003	(-8.50748297878022e+000dB,8.56928374059617e+001°)
2.31000000000000e+003	(-8.40173506496597e+000dB,8.56399783279179e+001°)
2.32000000000000e+003	(-8.29756997984322e+000dB,8.55872737461980e+001°)
2.33000000000000e+003	(-8.19494289785209e+000dB,8.55347217936129e+001°)
2.34000000000000e+003	(-8.09381083049935e+000dB,8.54823206350091e+001°)
2.35000000000000e+003	(-7.99413252829325e+000dB,8.54300684665946e+001°)
2.36000000000000e+003	(-7.89586838911332e+000dB,8.53779635152830e+001°)
2.37000000000000e+003	(-7.79898037251508e+000dB,8.53260040380524e+001°)
2.38000000000000e+003	(-7.70343191951524e+000dB,8.52741883213210e+001°)
2.39000000000000e+003	(-7.60918787744228e+000dB,8.52225146803378e+001°)
2.40000000000000e+003	(-7.51621442947421e+000dB,8.51709814585882e+001°)
2.41000000000000e+003	(-7.42447902851715e+000dB,8.51195870272140e+001°)
2.42000000000000e+003	(-7.33395033510845e+000dB,8.50683297844481e+001°)
2.43000000000000e+003	(-7.24459815905417e+000dB,8.50172081550623e+001°)
2.44000000000000e+003	(-7.15639340453523e+000dB,8.49662205898287e+001°)
2.45000000000000e+003	(-7.06930801843793e+000dB,8.49153655649938e+001°)
2.46000000000000e+003	(-6.98331494168470e+000dB,8.48646415817660e+001°)
2.47000000000000e+003	(-6.89838806335874e+000dB,8.48140471658141e+001°)
2.48000000000000e+003	(-6.81450217743259e+000dB,8.47635808667792e+001°)
2.49000000000000e+003	(-6.73163294192557e+000dB,8.47132412577970e+001°)
2.50000000000000e+003	(-6.64975684032856e+000dB,8.46630269350320e+001°)
2.51000000000000e+003	(-6.56885114514721e+000dB,8.46129365172225e+001°)
2.52000000000000e+003	(-6.48889388342538e+000dB,8.45629686452362e+001°)
2.53000000000000e+003	(-6.40986380412182e+000dB,8.45131219816365e+001°)
2.54000000000000e+003	(-6.33174034722169e+000dB,8.44633952102588e+001°)
2.55000000000000e+003	(-6.25450361447385e+000dB,8.44137870357961e+001°)
2.56000000000000e+003	(-6.17813434165242e+000dB,8.43642961833952e+001°)
